text,emotion
"Bus mein seat mil gayi, khade rehna nahi pada",happy
"Mobile ki battery pura din chala, 1% bhi kam nahi hua",happy
"Rainbow dikha aaj, bohot saalon baad dekha",happy
"Chidiya ghar mein ghonsla bana rahi thi, dekhna accha laga",happy
"Naya routeå°è¯• kiya ghar jaane ka, traffic nahi tha",happy
"Puranee photo dekhi, bachpan ki yaadein taza ho gayi",happy
"Bazaar mein favourite song baja, saath mein gaaya",happy
"Cycle chala raha tha, hawa ka jhoka aaya, maza aa gaya",happy
"Billi ke bacche hue ghar mein, dekhke accha lag raha hai",happy
"Naya dost bana aaj park mein, same interests hain",happy
"Paper easy aaya exam mein, likh ke aaya saare answers",happy
"Khet mein jaake aaya, hara bhara sab kuch, sukoon mila",happy
Bhook lagi thi aur exactly mummy ne khaana bula liya,happy
"Phone ka notification aaya, usi ka message tha jiska wait tha",happy
"School ka friend mila market mein, bohot hug kiya",happy
"Ghar aate hi chai mil gayi garam, thakaan door ho gayi",happy
"Aaj naachna ka mann kar raha hai, gaane pe naach liya thoda",happy
Subah uthke aaina dekha toh skin glow kar rahi thi,happy
"Bachpan ka gaana suna radio pe, saath mein gaya",happy
"Friend ne meri taraf se party di, sab ne enjoy kiya",happy
"Naya pen khareeda, likhne mein maza aa raha hai",happy
"Paper achha gaya, teacher ne appreciate kiya",happy
"Rain water mein bheega aaj, bachpan yaad aa gaya",happy
"Chai ke saath biscuit mil gaya fridge mein, combo perfect",happy
"Naya game download kiya, addictive hai, khel ke maza aa raha",happy
"Phone pe baat karte karte 2 ghante nikal gaye, pata nahi chala",happy
"Pizza order kiya, extra cheese mila free mein",happy
"Dost ne meri photo story pe daali, bohot saare likes aaye",happy
"Sardi mein garm kapde nikaale, jeb mein se 500 rupaye mile",happy
"Cycle ki puncture theek karwayi, ab chalti hai smooth",happy
"Naye kapde pehne, sab ne bola ""looking good""",happy
Khana khate time mummy ne extra paros diya,happy
"Friend ne book di padhne ke liye, bohot acchi hai",happy
"Bus stop par auto mil gaya turant, wait nahi karna pada",happy
"Movie dekhne gaye, theatre mein sirf hum do the, private screening jaisa",happy
"Raat ko chhat par lete hue taare dekhe, sukoon mila",happy
"Ghar ke paas naya cafe khula, coffee acchi hai",happy
"Ghar ke saare kaam khatam kar liye, ab rest kar sakte hain",happy
"Aaj subah se dil bohot bhaari hai, kuch accha nahi lag raha",sad
"Woh chali gayi mere life se, ab uski yaadein hi bachi hain",sad
"Papa ki tabiyat theek nahi hai, hospital mein admit hain, ghar soona lag raha hai",sad
"College ke saare dost alag ho gaye, ab koi baat karne wala nahi",sad
"Aaj pitch drop hui, 6 mahine ki mehnat waste ho gayi",sad
"Usko dekh liya kisi aur ke saath, dil toot gaya yaar",sad
"Bachpan ka ghar bech diya, ab wahan naye log rehte hain",sad
"Exam ka result aaya, fail ho gaya, ghar pe kaise face karunga",sad
"Bohot koshish ki par phir bhi nahi ho paya, haar maan liya hai maine",sad
"Aaj uski death anniversary hai, bohot yaad aata hai wo",sad
"Job nahi mil rahi, 100 interviews de diye, fir bhi reject ho raha hoon",sad
"Baat karne ka mann hai par koi hai nahi, lonely feel ho raha hai",sad
"Pata nahi kyun aaj bohot udaas hoon, kuch accha nahi lag raha",sad
"Ghar jaane ka mann hai par paise nahi, Diwali akela hi katni hai",sad
"Bachpan mein jo the wo log ab nahi rahe, time bohot badal gaya",sad
"Aaj khud ko aaina dekhke accha nahi laga, pata nahi kyun",sad
"Uski photo mil gayi gallery mein, bohot din baad dekha, rona aa gaya",sad
"Dost ka phone call aaya tha, baat karke accha laga par jaane ka dard hua",sad
"Zindagi mein kuch bhi accha nahi ho raha, bas waqt beeta ja raha hai",sad
"Aaj apne aap se hi nafrat si ho rahi hai, kyun hoon main",sad
"Rainy day hai, ghar pe akela hoon, kuch karne ka mann nahi",sad
"Breakup ke baad se kuch accha nahi lagta, sab kuch hollow sa lagta hai",sad
"Pichle hafte puppy mar gaya, ro ro ke aankhein sukh gayi",sad
"Uski yaad aati hai toh chain nahi milta, raat bhar neend nahi aati",sad
Sab kuch theek lag raha tha par pata nahi achanak se sab kharab ho gaya,sad
"Aaj subah utha toh laga ki kyun utha, jaagna hi kyun",sad
"Khana banaya par khane ka mann nahi, bas aise hi rakh diya",sad
"Uska number delete kiya aaj, fir bhi yaad aa raha hai",sad
"Dost ne bola busy hoon, par story pe active tha, jhooth bola usne",sad
"Ghar pe sab khush hain, main akela udaas hoon, kyun pata nahi",sad
"Movie dekhi romantic, end mein rone lag gaya",sad
"Birthday tha aaj, kisi ne wish nahi kiya, 12 bje tak intezaar kiya",sad
"School ka result aaya, friends topper bane, main kuch nahi kar paya",sad
"Papa ne bola ""tumse kuch nahi hoga"", sunke bura laga",sad
"Mummy se baat kiya, unki awaaz sunke rona aa gaya",sad
"Train chhoot gayi aaj, 2 min late pahucha, wait karna padega 4 ghante",sad
"Wallet kho gaya, saare paise, saare cards, sab kuch",sad
"Laptop crash ho gaya, saara data gaya, 2 saal ka kaam",sad
"Friend ka wedding tha, nahi ja paya paise nahi the",sad
"Photo dekhi purani, uss time sab the saath mein, ab sab alag hain",sad
"Raat ko neend nahi aati, uske baare mein sochta rehta hoon",sad
"Office mein appreciation mili sabko, sirf mujhe nahi mili",sad
"Ghar waalon ne force kiya shadi ke liye, mann nahi hai abhi",sad
"Naya city aaya hoon, koi nahi jaanta, bohot akelapan mehsoos hota hai",sad
"Mausam kharab hai, baarish nahi rukti, ghar mein band hoon",sad
"Bazaar gaya tha, sab khush the, main akela udas",sad
"Birthday pe cake kata, par wo nahi tha saath mein",sad
Success mili hai par share karne wala koi nahi,sad
"Ghar se dur hoon, miss kar raha hoon sabko, khaana, baatein, sab",sad
"Roshni chali gayi, andheron mein akela baitha hoon",sad
"Bachche school gaye, ghar soona ho gaya, awaazein nahi hain",sad
"Uske saath jo sapne dekhe the, wo ab adhoore hain",sad
"Phone toota aaj, uski photos thi jo ab recover nahi hongi",sad
"Dost ne trust toda, bharosa uth gaya ab",sad
"Paper kharab gaya, teacher ne daant diya class mein",sad
"Interview gaya tha, pata chala uss din hi band kiya position",sad
"Market mein crowd tha, koi mera nahi tha, akela feel hua",sad
"Friend ne nahi puchha ""kaisa hai tu?"", normally puchta tha",sad
"Uska status dekha, khush hai wo, main nahi hoon uska hissa",sad
"Naye saal ki party, ghar pe akela, countdown dekha TV pe",sad
"Ghar laut raha tha, train mein ek bachcha ro raha tha, mummy ko yaad kiya",sad
"Bhai kal trip pe ja rahe hain, manali, pack karo packing",enthusiasm
"Concert hai kal, AR Rahman, 2 saal se wait kar raha hoon",enthusiasm
"Naya phone kal launch ho raha hai, event dekhna hai live",enthusiasm
"Startup ke liye funding mil gayi, ab duniya badal denge",enthusiasm
"Kalkatta match hai India vs Pakistan, stadium mein jaa raha hoon",enthusiasm
"Movie ka trailer aaya, hype build ho rahi hai, can't wait",enthusiasm
"Weekend plan bana lo guys, kuch naya karte hain",enthusiasm
"Naya skill seekhna shuru kiya, coding, bohot interesting lagta hai",enthusiasm
"Birthday party mein kya surprise du soch raha hoon, maza ayega",enthusiasm
"Brother ki shaadi hai agle mahine, bohot saari tayariyan",enthusiasm
"Gym join kiya hai naya, ab body banayenge, motivation high hai",enthusiasm
"Naya project mila hai kaam pe, challenge accha hai, karke dikhayenge",enthusiasm
"Podcast shuru kar rahe hain dosto ke saath, kuch alag try karenge",enthusiasm
"Recipe try karna hai aaj, Italian cuisine, excitement high hai",enthusiasm
"Road trip ka plan, 5 states cover karenge, maza ayega",enthusiasm
"Furniture khareedne ja rahe hain, naye ghar ke liye, shopping ka maza",enthusiasm
"Naya course join kiya online, certificate milega, seekhna hai bohot",enthusiasm
"Dance class join ki aaj pehla day, bohot pehle try karna tha",enthusiasm
"Naya instrument seekh raha hoon guitar, pehla song bajane ko milega",enthusiasm
"Hackathon hai agle weekend, 48 hours code, team ready hai",enthusiasm
"Naya dress pehna aaj, sab appreciate kar rahe hain, confidence high",enthusiasm
"Investment shuru kiya hai naye fund mein, growth potential accha hai",enthusiasm
"Coding bootcamp join kiya, 6 mahine mein job guaranteed",enthusiasm
"Morning walk shuru kiya aaj, feel accha ho raha hai, consistency rakhni hai",enthusiasm
"Book club join kiya, pehli meeting kal hai, discuss karenge favourite book",enthusiasm
"Cooking class join kiya, chef banane ka sapna hai, excitement",enthusiasm
"Marathon ke liye register kiya, 21km, pehli baar try kar raha hoon",enthusiasm
"Naye city explore karne ka plan, har weekend naya jagah",enthusiasm
"Photography seekh raha hoon, camera mila hai naya, lens try karne ka maza",enthusiasm
"Volunteering shuru kiya animal shelter mein, dogs ke saath time",enthusiasm
"Naya language seekh raha hoon Spanish, duolingo pe streak 30 din",enthusiasm
"Gardening shuru kiya, plants grow hote dekhna accha lagta hai",enthusiasm
"Bakingå°è¯• kiya pehli baar, cake successful bana, ab naye recipes try karne hain",enthusiasm
"Fishing ja rahe hain dosto ke saath, weekend plan, maza ayega",enthusiasm
"Camping ka plan hai jungle mein, bonfire, ghost stories, can't wait",enthusiasm
"Naya bike liya hai, long drive pe jaane ka plan, highway pe maza ayega",enthusiasm
"Krishna ji ke mandir mein decoration hai Janmashtami pe, help kar raha hoon",enthusiasm
"Diwali pe pura gaur sajane ka plan, lights, rangoli, sab kuch",enthusiasm
"Naye saal ki party plan kar rahe hain, beach pe, countdown",enthusiasm
"Naya sport seekhna shuru kiya tennis, coach bohot accha hai",enthusiasm
"Bhai usne mere saath dhokha kiya, trust kiya tha uspe",anger
"Roz roz ki yehi backchodi, ab tolerance khatam ho gaya",anger
"Office mein credit maang liya usne apna bole bina, saala chor kahinka",anger
"Gaadi de di thi lekin waapas kharab kar di, 2 din mein engine kharab",anger
"Ticket kaat liya traffic wale ne, limit sirf 5km/h zyada thi",anger
"Baat karte karte beech mein cut kar diya usne, respect nahi hai kya",anger
"Aaj kal har koi aage badh raha hai, main wahi ka wahi hoon, apne aap se gussa aata hai",anger
"Zara si baat pe chillana shuru kar diya, kyun itna gussa hai usko",anger
"Bhai line mein lag ke 2 ghante wait kiya, phir usne kaha kal aao",anger
Usne mere baare mein aise bola jaante hue bhi ki main sun lunga,anger
"Saara kaam mujhe pe daal diya, holidays pe gaya apni family ke saath",anger
"Phone kiya 10 baar, uthaya nahi, baad mein message aaya ""busy tha""",anger
"Khaana order kiya, 1 ghanta ho gaya, abhi tak nahi aaya",anger
"Uska dimaag kharab hai kya, aise kaise kisi se baat kar sakte ho",anger
"Bachche roz roz aise karte hain, samajh nahi aata kya karun",anger
"Train late hai hamesha, roz late hote hain office, job jaane ki nau bat",anger
"Usne mere secrets sabko bata diye, bharosa tha uspe",anger
"Maal kharab tha, shopkeeper ne paise nahi laute, behenchod",anger
"Usse samajh nahi aata kitni mehnat lagti hai, easy samajh raha hai sab kuch",anger
"Ghar pe sab ignore kar rahe hain, baat hi nahi karte, kya galti ki maine",anger
"Party mein bulaya nahi, dost bolte ho apne aapko",anger
"Statement credit hua nahi abhi tak, 3 din ho gaye, paisa doob gaya",anger
"Software update kiya sab kuch delete ho gaya, 2 saal ka data gaya",anger
"Uski aisi baatein, meri aisi baatein, kyun compare karta hai mujhe",anger
"Kuch bhi type karun, sahi nahi lag raha, gussa control mein nahi",anger
"Auto wala ne meter se zyada paisa maanga, jhagda ho gaya",anger
"Battery 2% thi aur charger kharab, phone band ho gaya important call aane wala tha",anger
"Zomato order galat aaya, customer care se baat kiya toh disconnect kar diya",anger
"Neighbours party kar rahe hain raat 2 baje, neend kharab ho gayi",anger
Office colleague ne blame shift kar diya apni galti mere upar,anger
"Papa ne naya phone lene se mana kar diya, baaki sab ke paas hai",anger
"Friend ne promise kiya tha party mein aane ka, nahi aaya, bahana diya",anger
"Traffic mein 2 ghante phas gaya, kuch kaam nahi hua aaj",anger
"Public transport wale ne rude baat ki, control nahi hua",anger
"Coffee machine kharab ho gayi subah subah, neend bhi poori nahi",anger
"Interview ke liye gaya, panelist late aaya 1 ghanta, disrespect laga",anger
"Bike puncture ho gaya road trip ke beech mein, koi help nahi mili",anger
"Friend ne paisa maanga diya, ab maang raha hoon toh ignore kar raha hai",anger
"Net banking app crash ho rahi hai, bill pay nahi ho raha last date hai",anger
"Saman delay ho gaya flight mein, 3 ghante wait kiya airport pe",anger
"Movie hall mein baithke phone pe baat kar raha tha, disturb kiya",anger
"Mall mein security ne rok liya, ""bags check"" ke naam pe, harassment laga",anger
"Rent bhara diya, landlord bol raha nahi mila, receipt nahi rakhi",anger
"Friend ne personal baat public mein bata di, shame feel hua",anger
"Train mein seat reserved thi, koi aur baitha hua tha, hatane mein jhagda",anger
"Exam centre pe cheating ho rahi thi, invigilator ne ignore kiya, unfair laga",anger
"Job rejection mail aaya ""overqualified"" bolke, bakwas reason",anger
"Public mein kisi ne nasty comment kar diya, ignore kiya but andar gussa",anger
"Electricity bill zyada aaya, meter slow chal raha tha, complaint ka koi fayda nahi",anger
"Friend ne gift diya, khola toh useless cheez, paise waste kiye",anger
"Flight delayed hai koi reason nahi bata rahe, harassment hai",anger
"Team ne kaam nahi kiya, credit liya sabne, mujhe kuch nahi mila",anger
"Padosi ka dog roz bhaunkta hai raat mein, kuch nahi kar sakte",anger
"Train mein koi mere bag pe baitha, jab uthaya toh zipper toot gaya",anger
"Office canteen ka khaana kharab tha, paisa diya, complain ka koi fayda nahi",anger
"Friend ne mere baare mein achi baat nahi kahi mere peeche, pata chal gaya",anger
"Bike service ke liye diya, naya scratch aagaya, service wala mana kar raha",anger
"Movie spoil kar diya kisine ending bata ke, maza kharab",anger
"Uski shakal dekhna pasand nahi, aise lagta hai gussa aaye",hate
"Jis tarah usne treat kiya mujhe, kabhi maaf nahi karunga",hate
Uski baatein sunke lagta hai insaan nahi hai wo,hate
"Jab bhi uska naam sunta hoon, mood kharab ho jaata hai",hate
"Uska existence hi mere liye problem hai, kaash kabhi mila hota",hate
"Jo kiya usne mere saath, wo kabhi bhool nahi paunga",hate
"Usse dekhte hi blood boil ho jaata hai, control nahi hota",hate
Uski photo dekhi toh bas maarne ka mann kiya,hate success
"Uska success dekhke jalan hoti hai, deserve nahi karta wo",hate
"Zindagi mein aaya tha tabhi se sab kharab hai, kaash aaya hota",hate
"Uske baare mein sochkar neend nahi aati, gussa aata hai",hate
"Usse milne se pehle sab theek tha, ab sab kharab",hate
"Uski company mein bhi nahi rehna, dur raho",hate
"Uske paas jo hai, uske layak nahi hai",hate
Uski baatein sunke pata chalta hai kitna fake hai,hate
"Usne jhooth bola tha, pakda gaya, phir bhi shame nahi",hate
"Dost ban ke aaya, trust tooda, gaddar hai wo",hate
"Uski taraf se koi help nahi mili jab zaroorat thi, ignore kiya",hate
"Uski success dekhke jal raha hoon, unfair lagta hai",hate
"Usko mila jo deserve nahi karta, mujhe nahi mila",hate
"Uski acting dekho, sabke saamne accha banata hai",hate
"Uski publicity dekho, asli mein kuch nahi hai",hate
"Uska attitude, uski bakwas, sab pasand nahi",hate
Uski aankhon mein dekha toh dikha kitna selfish hai,hate
"Uski haan mein bhi dhokha hai, bharosa nahi",hate
Uski baat sunke lagta hai respect nahi hai kisi ke liye,hate
"Usne meri help nahi ki, baad mein bola ""sorry"", sorry se kuch nahi hota",hate
"Uski presence hi disturb karti hai, dur raho",hate
"Uski taraf se koi accha experience nahi raha, always negative",hate
"Uska number block kar diya aaj, finally",hate
"Uski yaad aati hai lekin gussa aata hai, confuse hoon",hate
"Usne woh kar diya jo kabhi imagine nahi kiya tha, unforgivable",hate
Uski photos dekhkar lagta hai kitna fake smile hai,hate
"Uske saath jo time bitaya, regret hota hai, waste",hate
"Uski success temporary hai, kuch nahi rahega",hate
"Uske fans are blind, asli cheez nahi dekhte",hate
"Uski baaton mein consistency nahi, har roz naya jhooth",hate
"Usne mera naam kharab kiya society mein, aukaat dikhayenge",hate
"Uski mohalle mein bhi nahi jaana, ghar pe rehna pasand hai",hate
"Uski taraf se koi positivity nahi milti, toxic hai",hate
"Uski aankhon mein dekha toh duniya bhool gaya, kash wo samajh paati",love
"Har jagah uski shakal dikhti hai, pagal ho gaya hoon main",love
"Saath mein baith ke chai peeni hai, baatein karni hain raat bhar",love
"Uski awaaz sunte hi din bana deti hai, miss you baby",love
"Tere bina adhoora hoon main, tu aaja bas",love
Pata nahi kyun par uski smile mere din ki shuruwat hai,love
"Uski yaad mein likhta hoon, uske liye gaane banaata hoon",love
"Maa ne jab puchha ""kaun hai wo?"" toh sharma gaya main",love
"Sapne mein aati hai roz, uthke uski photo dekhta hoon",love
"Uska haath pakd ke chalna, bas itni si khwahish hai",love
"Uski khamoshi bhi bohot kehti hai, use padhna seekh gaya hoon",love
"Baarish mein bheegna hai uske saath, chai peeni hai kisi tapri pe",love
"Ghar le jaana hai usse, milwana hai sabse, sapna hai ye",love
Jab wo hansti hai toh lagta hai saare gham bhool jaate hain,love
"Tera naam loon main, kya cheez hai, bas tere bina nahi jeena",love
"Uski photo screen saver hai, uthke dekhta hoon, phir smile aati hai",love
"Usse dekhna, bas dekhna, ghanto dekhta rahunga",love
"Uski baatein, uski hassi, sab kuch yaad aata hai",love
"Phone rakhte waqt 10 baar ""bye"" bolte hain, dono nahi mana karte",love
"Uske liye kuch bhi karunga, wo maange chaand, laa dunga",love
"Uski yaad mein neend nahi aati, par accha lagta hai",love
"Mummy se puchha ""acha lagta hai koi?"", sharma gaya, phir bola ""haan""",love
"Uske saath future plan karna, ghar, bachche, sab",love
"Uski chhoti chhoti batein yaad hain, kaise chai peeti hai, kaise hansti hai",love
"Jab wo pareshaan hoti hai, toh main pareshaan ho jaata hoon",love
"Uske liye poem likhi pehli baar, sunaunga kabhi",love
"Uski photo editing karta hoon, achchi lagti hai, bhejta hoon, khush hoti hai",love
"Usse milne se pehle kya tha, pata nahi, ab uske baad sab badal gaya",love
"Uski khushi meri khushi, uska dard mera dard",love
"Uska naam sunte hi dil dhadakta hai, heart racing",love
"Uski smile ke peeche ka dard jaanta hoon, khush rakhna chahta hoon",love
"Uske saath chai, uske saath coffee, uske saath walk, sab accha lagta hai",love
"Uski photo album banayi hai, print karwa ke, bohot pyaari lagti hai",love
"Uske liye playlist banayi, wo gaane jo use pasand hain, sunata hoon",love
"Uske saath future mein ghar, 2 bachche, ek dog, sab socha hai",love
"Uski yaad mein diary likhta hoon, roz ek page",love
"Uske liye khaana banana seekh raha hoon, uski favourite dish",love
"Uski tasveer dil ke paas rakhta hoon, literally wallet mein",love
"Jab wo baat karti hai, duniya bhool jaata hoon, bas uski awaaz",love
"Uske liye surprise gift liya, dene ka wait kar raha hoon, uska reaction dekhna hai",love
"Usse pahli baar dekha tha wahan pe, ab roz jaata hoon wahan, hope mil jaaye",love
"Uski yaad mein gaane sunta hoon, wo jo romantic hain, love songs loop pe",love
"Uske liye main better insaan banna chahta hoon, wo inspiration hai",love
Kya?! Usne mujhe propose kiya? seriously nahi expect kiya tha,surprise
"Achanak se saamne aa gaya wo, main vahan tha hi nahi expect karte hue",surprise
"Result aaya, main topper hoon, mujhe yakeen nahi ho raha",surprise
"Ghar pahucha toh sab ne surprise party di, birthday tha mera",surprise
"Lottery lagi 50000 ki, first time kuch jeeta hoon life mein",surprise
"Usne gift diya aur andar thi meri favourite watch, kaise pata chala usko",surprise
Offer mil gaya uss company se jahan apply bhi nahi kiya tha,surprise
Movie ka twist dekh ke uthke khada ho gaya theatre mein,surprise
"Friend achanak se mila London mein, koi idea nahi tha ki wahan hai",surprise
"Uska message ""main wapas aa raha hoon"", 3 saal baad, yakeen nahi hua",surprise
"Bill 100 ka tha, Maine 500 diye, usne 900 wapas kar diye, maine dekha toh 400 extra",surprise
"Dekha toh usne chocolate di thi, andar engagement ring thi, ruk gaya dum",surprise
"Interview ke time pata chala ki panel mein mere college ka senior hai, small world",surprise
"Flight mein neighbour nikla mera school friend, kya coincidence hai",surprise
"Papa ne bola ""main proud hoon beta"", pehli baar suna, aankhen bhar aayi",surprise
"Uska call aaya, maine socha kuch kaam hoga, but usne bola ""I miss you"", 2 saal baad",surprise
"Ghar pahucha toh naya sofa set aaya tha, mummy ne bina bataye khareed liya",surprise
"Pet shop gaya tha, wahi puppy mil gaya jo dekha tha online, booked tha par cancel ho gaya",surprise
"Train mein seat number mera hi kisi aur ka tha, baad mein pata chala upgrade mil gaya first class",surprise
"Birthday pe uthe sab ne party di office mein, cake katega socha nahi tha",surprise
"Uska engagement kisi aur se ho gaya, news mili abhi, shock mein hoon",surprise
"Flight cancel hone wali thi, last minute pe announce kiya ki ho rahi hai, relief",surprise
"Bill pay kiya tha par notification aaya ki pending hai, tension, baad mein pata chala glitch tha",surprise
"Interview easy gaya, socha nahi tha itna simple hoga",surprise
"Friend ne btaya ki uski shadi fix ho gayi, kal hi mila tha uski koi baat nahi kar raha tha",surprise
"Naya mall khula hai paas mein, pata nahi tha, dekh ke accha laga",surprise
"Pocket mein se 500 rupaye mile, pata nahi kab rakhe the",surprise
"Uska exam ka result aaya, top kiya, usse expect nahi tha",surprise
"Mummy ka birthday bhool gaya tha, unhe yaad dilaya, par unka friend surprise party de di, relief",surprise
"Ghar pe naya pet aaya, bina bataye, puppy hai cute",surprise
"Old friend ka message aaya, 5 saal baad, still remembers me",surprise
"Road pe chalte chalte koi piche se aake bola ""sir"", nikla mera school teacher",surprise
"Usne apna number change kar liya tha, pata nahi tha, call kiya toh unknown number, wo hi uthaya",surprise
"Movie dekhne gaye, hall mein sirf hum do the, private screening",surprise
"Usne meri photo story pe daali, appreciate kiya, socha nahi tha",surprise
