emotion,language,response,follow_up
enthusiasm,hindi,Aisi fire roz roz nahi dikhti tujh mein!,Aaj kis baat ne itna motivate kiya?
enthusiasm,hindi,Teri energy sach mein inspiring lag rahi hai!,Kaunsa dream chase kar raha hai tu abhi?
enthusiasm,hindi,Is lehar pe abhi sawaar ho jao jab tak garam hai!,Next step kya hai tera bilkul abhi?
enthusiasm,hinglish,"Bhai yeh energy toh next level hai, let's gooo yaar!",Aaj kis mission pe nikla hai tu?
enthusiasm,hinglish,"Itna hype tha toh abhi kuch bada karo, perfect time hai!",Sabse pehle kya start karega?
enthusiasm,hinglish,Yaar tera excitement dekh ke mujhe bhi motivation mil gayi!,Kya plan hai jo itna excite kar raha hai?
enthusiasm,hinglish,"Full josh mein hai tu aaj, I love this version of you!","Bata na, aaj kis baat ka josh hai?"
enthusiasm,hinglish,Yeh energy hi hai jisse big things hote hain!,Sabse pehla step kya lega tu?
enthusiasm,hinglish,Tu fully ready lag raha hai is sab ke liye!,Aaj kis baat ne itna fire laga diya?
enthusiasm,hinglish,Yeh excitement ko action mein convert kar de abhi!,"Plan kya hai, kahan se start karega?"
enthusiasm,hinglish,Yeh energy sach mein electric hai yaar!,Bada goal kya hai is sab ke peeche?
enthusiasm,hinglish,Yeh hype hi bade kaam karwata hai bhai!,Abhi kis goal ke peeche hai tu?
enthusiasm,hinglish,"Tu unstoppable lag raha hai, momentum maintain rakh!",Aaj ka next move kya hai?
enthusiasm,hinglish,Yeh energy hi dreams ko reality banati hai!,Sabse pehla move kya hoga tera?
enthusiasm,hinglish,"Main is excitement mein fully hoon, let's go!",Sabse pehle kya start karega?
enthusiasm,hinglish,Aisi fire roz roz nahi aati yaar!,Aaj kya motivate kar gaya tujhe itna?
enthusiasm,hinglish,Teri energy genuinely inspiring lag rahi hai!,Kaunsa dream chase kar raha hai abhi?
enthusiasm,hinglish,Is wave pe abhi sawaar ho ja jab tak hot hai!,Next step kya hai bilkul abhi ka?
